ZONE_TYPE,ZONE_CLASS,EDIT_STATU,EDIT_DATE,PD_PREFIX,PD_NUM,ORDINANCE_,ORDINANCE1
5,PD 264,ACTIVE,,B,264,,
5,PD 191,ACTIVE,,B,191,,
2,C2-2,ACTIVE,,,0,,
1,B1-1,ACTIVE,,,0,,
2,C1-2,ACTIVE,,,0,,
1,B3-2,ACTIVE,,,0,,
2,C1-2,ACTIVE,,,0,,
2,C1-2,ACTIVE,,,0,,
3,M2-2,ACTIVE,,,0,,
5,PD 696,ACTIVE,,I,696,,
1,B3-1,ACTIVE,,,0,,
2,C1-1,ACTIVE,,,0,,
5,PD 333,ACTIVE,,R,333,,
2,C1-2,ACTIVE,,,0,,
4,RT-4,ACTIVE,,,0,,
5,PD 86,ACTIVE,,R,86,,
5,PD 87,ACTIVE,,RB,87,,
7,DX-7,ACTIVE,,,0,,
5,PD 461,ACTIVE,,RB,461,,
7,DX-7,ACTIVE,,,0,,
7,DX-7,ACTIVE,,,0,,
3,M1-2,ACTIVE,,,0,,
2,C1-5,ACTIVE,,,0,,
4,RT-4,ACTIVE,,,0,,
2,C2-3,ACTIVE,,,0,,
1,B3-2,ACTIVE,,,0,,
7,DX-5,ACTIVE,11/19/04,,0,A5444,09/15/04
2,C1-5,ACTIVE,,,0,,
5,PD 348,ACTIVE,,R,348,,
2,C1-3,ACTIVE,,,0,,
5,PD 694,ACTIVE,,B,694,,
8,DC-12,ACTIVE,08/16/04,,0,,
5,PD 779,ACTIVE,,B,779,,
5,PD 785,ACTIVE,,WR,785,,
5,PD 431,ACTIVE,,B,431,,
5,PD 488,ACTIVE,,B,488,,
3,M2-3,ACTIVE,,,0,,
4,RT-4,ACTIVE,,,0,,
1,B2-3,ACTIVE,04/18/05,,0,14731,03/09/05
2,C1-3,ACTIVE,,,0,,
5,PD 596,ACTIVE,,B,596,,
5,PD 195,ACTIVE,,B,195,,
5,PD 489,ACTIVE,06/22/05,RB,489,14523,05/11/05
5,PD 706,ACTIVE,,,706,,
5,PD 478,ACTIVE,,IB,478,,
5,PD 486,ACTIVE,,B,486,,
5,PD 284,ACTIVE,,CAP,284,,
5,PD 856,ACTIVE,11/04/03,B,856,13748,12/04/02
5,PD 13,ACTIVE,,,13,,
4,RT-4,ACTIVE,,,0,,
1,B3-5,ACTIVE,,,0,,
1,B3-5,ACTIVE,,,0,,
3,M1-3,ACTIVE,,,0,,
1,B3-3,ACTIVE,,,0,,
2,C1-5,ACTIVE,,,0,,
1,B3-3,ACTIVE,,,0,,
2,C1-5,ACTIVE,,,0,,
5,PD 564,ACTIVE,,R,564,,
1,B1-1,ACTIVE,,,0,,
3,M1-2,ACTIVE,,,0,,
2,C1-1,ACTIVE,,,0,14246,06/23/04
1,B3-1,ACTIVE,,,0,,
3,M1-2,ACTIVE,,,0,,
1,B3-1,ACTIVE,,,0,,
4,RT-4,ACTIVE,,,0,,
4,RT-4,ACTIVE,,,0,,
3,M1-2,ACTIVE,,,0,,
4,RT-4,ACTIVE,,,0,,
4,RT-4,ACTIVE,,,0,,
2,C1-2,ACTIVE,,,0,,
4,RT-4,ACTIVE,,,0,,
1,B3-5,ACTIVE,06/25/04,,0,14292,05/26/04
7,DX-5,ACTIVE,,,0,,
5,PD 807,ACTIVE,,BI,807,13482,01/16/02
5,PD 585,ACTIVE,,I,585,,
5,PD 586,ACTIVE,,B,586,,
5,PD 468,ACTIVE,,B,468,,
5,PD 124,ACTIVE,,B,124,,
5,PD 815,ACTIVE,,RB,815,,
5,PD 669,ACTIVE,,RB,669,,
2,C1-5,ACTIVE,,,0,,
2,C2-5,ACTIVE,,,0,,
2,C2-5,ACTIVE,,,0,,
2,C1-3,ACTIVE,,,0,,
1,B3-3,ACTIVE,,,0,,
2,C1-3,ACTIVE,,,0,,
1,B3-2,ACTIVE,,,0,,
7,DX-5,ACTIVE,,,0,,
2,C1-3,ACTIVE,,,0,,
5,PD 862,ACTIVE,06/03/03,RB,862,13400,02/05/03
5,PD 647,ACTIVE,,R,647,,
5,PD 512,ACTIVE,,R,512,,
5,PD 551,ACTIVE,,RB,551,,
4,RM-5,ACTIVE,,,0,14298,06/23/04
5,PD 482,ACTIVE,01/06/05,CR,482,14345,09/29/04
5,PD 362,ACTIVE,,R,362,,
5,PD 221,ACTIVE,,A,221,,
1,B1-5,ACTIVE,,,0,,
10,DS-5,ACTIVE,,,0,,
7,DX-7,ACTIVE,,,0,,
2,C1-2,ACTIVE,,,0,,
2,C1-2,ACTIVE,,,0,,
4,RT-4,ACTIVE,,,0,,
4,RM-5,ACTIVE,,,0,,
2,C1-3,ACTIVE,,,0,,
4,RT-4,ACTIVE,,,0,,
3,M1-2,ACTIVE,,,0,,
4,RT-4,ACTIVE,,,0,,
1,B1-1,ACTIVE,,,0,,
4,RT-4,ACTIVE,,,0,,
4,RM-5,ACTIVE,,,0,,
4,RM-5,ACTIVE,,,0,,
2,C1-2,ACTIVE,,,0,,
3,M1-1,ACTIVE,,,0,,
4,RT-4,ACTIVE,,,0,,
2,C1-3,ACTIVE,,,0,,
1,B3-2,ACTIVE,,,0,,
1,B3-2,ACTIVE,,,0,,
3,M1-1,ACTIVE,,,0,,
2,C1-2,ACTIVE,,,0,,
5,PD 506,ACTIVE,,B,506,,
1,B3-5,ACTIVE,,,0,,
4,RM-5,ACTIVE,,,0,,
2,C1-2,ACTIVE,,,0,,
1,B1-2,ACTIVE,,,0,,
5,PD 227,ACTIVE,,R,227,,
9,DR-7,ACTIVE,,,0,,
3,M1-2,ACTIVE,,,0,,
5,PD 156,ACTIVE,,R,156,,
5,PD 670,ACTIVE,,I,670,,
5,PD 813,ACTIVE,,RB,813,,
4,RS-3,ACTIVE,,,0,,
3,M1-1,ACTIVE,,,0,,
1,B1-5,ACTIVE,,,0,,
4,RM-5,ACTIVE,,,0,,
1,B3-5,ACTIVE,,,0,,
2,C1-5,ACTIVE,,,0,,
1,B1-5,ACTIVE,,,0,,
2,C1-2,ACTIVE,,,0,,
1,B3-1,ACTIVE,,,0,,
1,B1-3,ACTIVE,,,0,,
5,PD 372,ACTIVE,,R,372,,
5,PD 274,ACTIVE,,R,274,,
4,RS-1,ACTIVE,,,0,,
4,RS-3,ACTIVE,,,0,,
4,RT-4,ACTIVE,,,0,,
4,RT-4,ACTIVE,,,0,,
2,C1-2,ACTIVE,,,0,,
5,PD 806,ACTIVE,,I,806,,
1,B3-5,ACTIVE,,,0,,
5,PD 164,ACTIVE,,I,164,,
1,B3-1,ACTIVE,,,0,,
4,RS-3,ACTIVE,,,0,,
4,RS-3,ACTIVE,,,0,,
